0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 128
2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 128 128
3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 128 128 128
4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 128 128 128 128
5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 128 128 128 128 128
6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 128 128 128 128 128 128
7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 128 128 128 128 128 128 128
8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 128 128 128 128 128 128 128 128
9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 128 128 128 128 128 128 128 128 128
10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 128 128 128 128 128 128 128 128 128 128
11 12 13 14 15 16 17 18 19 20 21 22 23 24 128 128 128 128 128 128 128 128 128 128 128
12 13 14 15 16 17 18 19 20 21 22 23 24 128 128 128 128 128 128 128 128 128 128 128 128
13 14 15 16 17 18 19 20 21 22 23 24 128 128 128 128 128 128 128 128 128 128 128 128 128
14 15 16 17 18 19 20 21 22 23 24 128 128 128 128 128 128 128 128 128 128 128 128 128 128
15 16 17 18 19 20 21 22 23 24 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128
16 17 18 19 20 21 22 23 24 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128
17 18 19 20 21 22 23 24 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128
18 19 20 21 22 23 24 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128
19 20 21 22 23 24 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128
20 21 22 23 24 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128
21 22 23 24 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128
22 23 24 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128
23 24 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128
24 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128
128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128
128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 170
128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 170 85
128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 170 85 170
128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 170 85 170 85
128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 170 85 170 85 170
128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 170 85 170 85 170 85
128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 170 85 170 85 170 85 170
128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 170 85 170 85 170 85 170 85
128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 170 85 170 85 170 85 170 85 170
128 128 128 128 128 128 128 128 128 128 128 128 128 128 128 170 85 170 85 170 85 170 85 170 85
128 128 128 128 128 128 128 128 128 128 128 128 128 128 170 85 170 85 170 85 170 85 170 85 170
128 128 128 128 128 128 128 128 128 128 128 128 128 170 85 170 85 170 85 170 85 170 85 170 85
128 128 128 128 128 128 128 128 128 128 128 128 170 85 170 85 170 85 170 85 170 85 170 85 170
128 128 128 128 128 128 128 128 128 128 128 170 85 170 85 170 85 170 85 170 85 170 85 170 85
128 128 128 128 128 128 128 128 128 128 170 85 170 85 170 85 170 85 170 85 170 85 170 85 170
128 128 128 128 128 128 128 128 128 170 85 170 85 170 85 170 85 170 85 170 85 170 85 170 85
128 128 128 128 128 128 128 128 170 85 170 85 170 85 170 85 170 85 170 85 170 85 170 85 170
128 128 128 128 128 128 128 170 85 170 85 170 85 170 85 170 85 170 85 170 85 170 85 170 85
128 128 128 128 128 128 170 85 170 85 170 85 170 85 170 85 170 85 170 85 170 85 170 85 170
128 128 128 128 128 170 85 170 85 170 85 170 85 170 85 170 85 170 85 170 85 170 85 170 85
128 128 128 128 170 85 170 85 170 85 170 85 170 85 170 85 170 85 170 85 170 85 170 85 170
128 128 128 170 85 170 85 170 85 170 85 170 85 170 85 170 85 170 85 170 85 170 85 170 85
128 128 170 85 170 85 170 85 170 85 170 85 170 85 170 85 170 85 170 85 170 85 170 85 170
128 170 85 170 85 170 85 170 85 170 85 170 85 170 85 170 85 170 85 170 85 170 85 170 85
170 85 170 85 170 85 170 85 170 85 170 85 170 85 170 85 170 85 170 85 170 85 170 85 170
85 170 85 170 85 170 85 170 85 170 85 170 85 170 85 170 85 170 85 170 85 170 85 170 0
170 85 170 85 170 85 170 85 170 85 170 85 170 85 170 85 170 85 170 85 170 85 170 0 0
85 170 85 170 85 170 85 170 85 170 85 170 85 170 85 170 85 170 85 170 85 170 0 0 0
170 85 170 85 170 85 170 85 170 85 170 85 170 85 170 85 170 85 170 85 170 0 0 0 0
85 170 85 170 85 170 85 170 85 170 85 170 85 170 85 170 85 170 85 170 0 0 0 0 0
170 85 170 85 170 85 170 85 170 85 170 85 170 85 170 85 170 85 170 0 0 0 0 0 0
85 170 85 170 85 170 85 170 85 170 85 170 85 170 85 170 85 170 0 0 0 0 0 0 0
170 85 170 85 170 85 170 85 170 85 170 85 170 85 170 85 170 0 0 0 0 0 0 0 0
85 170 85 170 85 170 85 170 85 170 85 170 85 170 85 170 0 0 0 0 0 0 0 0 0
170 85 170 85 170 85 170 85 170 85 170 85 170 85 170 0 0 0 0 0 0 0 0 0 0
85 170 85 170 85 170 85 170 85 170 85 170 85 170 0 0 0 0 0 0 0 0 0 0 0
170 85 170 85 170 85 170 85 170 85 170 85 170 0 0 0 0 0 0 0 0 0 0 0 0
